"module_id","user_id","name","prompt","difficulty_level","scenario","current_value"
"0f804029-eed7-4c0a-8814-b18649f468ad","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Share your thoughts on how technology has changed the way we communicate.","Beginner","Storytelling",0
"8dd9b3dc-d92c-42d4-96fe-7a974aa8fe42","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Explain a concept you're passionate about as if teaching it to someone new.","Beginner","Storytelling",1
"a388cb63-fa6f-4326-83b2-d9e27ccf0bc7","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Explain a concept you're passionate about as if teaching it to someone new.","Beginner","Storytelling",1
"fec2b4a5-ddad-4c41-8a67-e0c1a2a2d2ae","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a goal you want to achieve in the next five years and your plan to reach it.","Beginner","Storytelling",1
"c12510af-0d36-405f-a426-adfde01b3cd8","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received constructive feedback on your work or performance. How did you react to the feedback and what steps did you take to apply it for improvement?","Beginner","Storytelling",1
"1a7ebee3-2058-48f6-a94b-be65ef630f00","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","What is your typical response when faced with a challenge or obstacle in your life? How do you approach problem-solving and overcoming difficulties? Share a specific example of a time when you successfully navigated through a tough situation and reflect on what you learned from that experience.","Beginner","Storytelling",1
"0aa96f62-a2e8-4e8b-9b75-8c32132ea8dd","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received criticism or feedback on your work. How did you react to it, and what did you learn from the experience?","Beginner","Storytelling",1
"61056ce7-130b-437e-937f-8ffd702345b1","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received unexpected feedback on your work or performance. How did you initially react to the feedback, and how did you ultimately use it to improve or grow?","Beginner","Storytelling",1
"ba06b01d-5f3d-4161-8a76-35fef8722b29","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Imagine you receive a negative response to a project proposal you've been working on for months. How would you handle this setback, and what steps would you take to turn this negative response into a positive outcome?","Beginner","Storytelling",1
"0736362f-c74d-4ee6-9b69-21eee7b86be3","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received feedback that was difficult to hear. How did you initially react, and what steps did you take to process and learn from the feedback? How did this experience impact your personal or professional growth?","Beginner","Storytelling",1
"ef9cc22e-6b5a-428e-9dcd-a3c4d52a8b91","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received feedback that was difficult to hear. How did you initially react, and what steps did you take to process and learn from that feedback? How did it ultimately impact your growth and development?","Beginner","Storytelling",1
"450b535b-197d-48e7-81f4-5958763a7723","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received feedback that was difficult to hear. How did you initially react, and how did you ultimately use the feedback to improve or grow?","Beginner","Storytelling",1
"dc7ab638-5690-44fd-ac5c-3ae80924b3a3","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Prompt: Reflect on a time when you received constructive feedback on your work or performance. How did you initially feel about the feedback, and how did you ultimately use it to improve or grow?","Beginner","Storytelling",1
"c40bfc1e-72ef-474d-bc45-e7d2bf81d2a5","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received constructive criticism and how you handled it. How did you feel initially and what steps did you take to improve yourself based on the feedback?","Beginner","Storytelling",1
"627b6094-2b51-4d26-b8da-226383521edf","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received unexpected feedback. How did you initially react to it and how did you ultimately handle it? What did you learn from that experience?","Beginner","Storytelling",1
"a57eba00-1f6a-42e0-b822-03627cbf2dca","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Discuss a time when you received feedback that was difficult to hear. How did you initially react to the feedback and what steps did you take to process and learn from it? How did this experience impact your growth and development?","Beginner","Storytelling",1
"a3877523-255f-4491-b3bd-bd2915b7162a","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received feedback that was difficult to hear. How did you initially react, and how did you ultimately use that feedback to improve or grow?","Beginner","Storytelling",1
"ee1c3c98-31ad-439e-8817-2ecaf4a18f94","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a goal you want to achieve in the next five years and your plan to reach it.","Beginner","Storytelling",1
"05fe4fec-59d4-44ea-adde-a22fe2e7b03a","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Prompt: Reflect on a time when you received constructive criticism and how you responded to it. How did the feedback impact you and how did you use it to improve yourself or your work?","Beginner","Storytelling",1
"861e202c-06db-4a5c-919b-046c03dd4ef9","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","What is your typical response when faced with a challenging situation? How do you approach problem-solving and decision-making under pressure? Share an example of a time when you successfully navigated a difficult situation and the strategies you employed to achieve a positive outcome.","Beginner","Storytelling",1
"27cfdc1c-9099-4cd2-bcc0-c10f29adbb88","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Discuss a time when you received constructive criticism and how it helped you improve. How did you initially react to the feedback, and what steps did you take to implement the suggested changes?","Beginner","Storytelling",1
"5fcbdd1c-f566-4189-a0d3-627d4b6028b3","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a challenging situation you've faced and how you overcame it.","Beginner","Storytelling",1
"ae4db9f7-c266-40c5-acaf-fa7317c944be","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you faced a challenge that seemed insurmountable at first, but you were able to overcome it. What steps did you take to tackle the challenge, and how did you feel once you successfully dealt with it?","Beginner","Storytelling",1
"ee52ba9a-c8b1-444a-8e3c-552077e76525","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received feedback that was difficult to hear. How did you react to the feedback? What did you learn from the experience?","Beginner","Storytelling",1
"90a3d45e-7f0f-4558-977c-a11d73df3402","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received constructive criticism and how you handled it. How did you apply the feedback to improve yourself or your work?","Beginner","Storytelling",1
"00ecb9f3-8dfa-4aaf-9260-b86bcc08825d","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received feedback on your work or performance that you initially found difficult to accept. How did you overcome any negative emotions or resistance to the feedback, and what steps did you take to improve based on the feedback received?","Beginner","Storytelling",1
"351ed39d-5a50-4cff-b9b8-881f66138ce0","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received feedback on your work. How did you initially feel about the feedback, and how did you ultimately use it to improve your performance or product?","Beginner","Storytelling",1
"13d3726c-2741-46b3-b277-7cd772488f76","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received unexpected feedback or criticism. How did you initially react, and how did you eventually respond to it? What did you learn from this experience?","Beginner","Storytelling",1
"d6ce8007-9906-4a5f-b9a5-787b8b7e0d16","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you had to respond to a difficult situation or conflict. How did you handle it, and what was the outcome? What did you learn from this experience?","Beginner","Storytelling",1
"78839829-cd38-427d-9168-0feeb128a45c","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received constructive criticism and how you responded to it. How did it impact your growth and development?","Beginner","Storytelling",1
"9d9c6a71-b906-4e6b-ac7d-f22d6994202c","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received constructive criticism. How did you react to it and what steps did you take to address the feedback?","Beginner","Storytelling",1
"5a0f578a-7ae8-4a20-9106-a6ecddee3183","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received unexpected feedback on your work. How did you initially react, and how did you ultimately use the feedback to improve your skills or performance?","Beginner","Storytelling",1
"e832a3d6-716e-42bc-9bb5-7179bc2e3ae8","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received constructive criticism and how you handled it. How did you incorporate the feedback into your work or personal development?","Beginner","Storytelling",1
"7a5a05d7-6ce5-467c-a7b0-333e2249e524","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received unexpected feedback. How did you initially react to the feedback, and how did you ultimately use it to improve or learn from the experience?","Beginner","Storytelling",1
"0002f86a-240a-45b7-a56b-23b38dabde09","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Discuss a time when you received constructive criticism and how you handled it. How did you feel initially, and what steps did you take to improve based on the feedback?","Beginner","Storytelling",1
"d89d809b-26de-411a-8ec8-2bf7db19b9a6","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received feedback that was difficult to hear. How did you react to this feedback and what did you learn from the experience?","Beginner","Storytelling",1
"fb1c8609-739a-44e7-ba58-eac31fb52cad","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received constructive feedback that helped you improve in a significant way. How did you initially feel about the feedback, and how did you ultimately use it to grow and develop?","Beginner","Storytelling",1
"7cf67cb6-659d-4f29-b172-b6b18345aa1d","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you had to respond to a challenging situation at work or school. How did you handle it, and what was the outcome? What did you learn from that experience?","Beginner","Storytelling",1
"00e09cd9-737d-4f02-abc8-98f1cc8befb5","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received feedback that was difficult to hear. How did you initially react to the feedback, and what steps did you take to process and learn from it? How did this experience impact your personal or professional growth?","Beginner","Storytelling",1
"06115190-f148-46ff-a81e-e67d777555f8","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received a response that completely changed your perspective on a situation. How did this response impact your thoughts and actions moving forward?","Beginner","Storytelling",1
"674e77c4-682c-4627-83a4-2d6ed4055c32","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you had to respond to a difficult situation. How did you handle it and what was the outcome? What did you learn from that experience?","Beginner","Storytelling",1
"5279c65d-5e84-4c2c-b96f-d4cfdd61a57a","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received feedback that was difficult to hear. How did you initially react to the feedback, and what steps did you take to process it and improve based on the feedback? How did this experience impact your personal or professional growth?","Beginner","Storytelling",1
"5b94c3a7-e18c-44b1-931c-7caaee932dd5","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Discuss a time when you received feedback that you initially found challenging or difficult to accept. How did you ultimately process and act on that feedback? What did you learn from the experience?","Beginner","Storytelling",1
"571f624e-d57b-4aeb-90c7-50e3e55a347d","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received feedback that was difficult to hear. How did you initially react, and what steps did you take to process and learn from the feedback? How did this experience impact your growth and development?","Beginner","Storytelling",1
"fb38b5b8-c586-4d59-b8c6-1c1d44550beb","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Discuss a time when you received constructive feedback on your work or performance. How did you initially feel about the feedback? How did you ultimately use it to improve and grow?","Beginner","Storytelling",1
"59c2752c-2ee0-4fbb-9311-5ec1a99deced","f8b105c8-7e75-49ff-b325-e1f062834d77","storytelling","Describe a time when you received feedback that was difficult to hear or challenging to accept. How did you initially react to the feedback, and what steps did you take to process and learn from it? How did this experience impact your personal or professional growth?","Beginner","Storytelling",1
